"district_key","NAME_1","indicator","year","percent"
"mwanza","Mwanza","Coverage Index",2015,62.6462229166395
"mwanza","Mwanza","Skilled Birth Attendance",2024,34.1599780346997
"mwanza","Mwanza","ANC 4+",2024,64.9977329787794
"mwanza","Mwanza","Postnatal Care",2024,99.3461419478468
"mwanza","Mwanza","Coverage Index",2024,66.1679509871086
"mzimba","Mzimba","Skilled Birth Attendance",2015,52.0270585234879
"mzimba","Mzimba","ANC 4+",2015,57.0601821041784
"mzimba","Mzimba","Postnatal Care",2015,98.9240523536087
"mzimba","Mzimba","Coverage Index",2015,69.337097660425
"mzimba","Mzimba","Skilled Birth Attendance",2024,33.5627834211228
"mzimba","Mzimba","ANC 4+",2024,59.8262220701718
"mzimba","Mzimba","Postnatal Care",2024,100
"mzimba","Mzimba","Coverage Index",2024,64.4630018304315
"neno","Neno","Skilled Birth Attendance",2015,56.9055518212048
"neno","Neno","ANC 4+",2015,56.7608948069125
"neno","Neno","Postnatal Care",2015,99.8054624606932
"neno","Neno","Coverage Index",2015,71.1573030296035
"neno","Neno","Skilled Birth Attendance",2024,35.0512504412663
"neno","Neno","ANC 4+",2024,79.436091409964
"neno","Neno","Postnatal Care",2024,100
"neno","Neno","Coverage Index",2024,71.4957806170768
"nkhata bay","Nkhata Bay","Skilled Birth Attendance",2015,48.8692330968697
"nkhata bay","Nkhata Bay","ANC 4+",2015,57.3704100023521
"nkhata bay","Nkhata Bay","Postnatal Care",2015,100
"nkhata bay","Nkhata Bay","Coverage Index",2015,68.7465476997406
"nkhata bay","Nkhata Bay","Skilled Birth Attendance",2024,36.7390337739463
"nkhata bay","Nkhata Bay","ANC 4+",2024,74.4773278708593
"nkhata bay","Nkhata Bay","Postnatal Care",2024,100
"nkhata bay","Nkhata Bay","Coverage Index",2024,70.4054538816018
"nkhotakota","Nkhotakota","Skilled Birth Attendance",2015,47.2014625202256
"nkhotakota","Nkhotakota","ANC 4+",2015,46.6413716039662
"nkhotakota","Nkhotakota","Postnatal Care",2015,99.7435868108787
"nkhotakota","Nkhotakota","Coverage Index",2015,64.5288069783569
"nkhotakota","Nkhotakota","Skilled Birth Attendance",2024,36.5082863633329
"nkhotakota","Nkhotakota","ANC 4+",2024,66.7363044805913
"nkhotakota","Nkhotakota","Postnatal Care",2024,98.9380299259467
"nkhotakota","Nkhotakota","Coverage Index",2024,67.3942069232903
"nsanje","Nsanje","Skilled Birth Attendance",2015,58.0197989324176
"nsanje","Nsanje","ANC 4+",2015,43.5815554177198
"nsanje","Nsanje","Postnatal Care",2015,99.421943407632
"nsanje","Nsanje","Coverage Index",2015,67.0077659192565
"nsanje","Nsanje","Skilled Birth Attendance",2024,35.685168498074
"nsanje","Nsanje","ANC 4+",2024,66.1333760290675
"nsanje","Nsanje","Postnatal Care",2024,99.4114059229651
"nsanje","Nsanje","Coverage Index",2024,67.0766501500355
"ntcheu","Ntcheu","Skilled Birth Attendance",2015,50.9531452359625
"ntcheu","Ntcheu","ANC 4+",2015,49.5816720682546
"ntcheu","Ntcheu","Postnatal Care",2015,99.4076116089765
"ntcheu","Ntcheu","Coverage Index",2015,66.6474763043979
"ntcheu","Ntcheu","Skilled Birth Attendance",2024,34.425020679603
"ntcheu","Ntcheu","ANC 4+",2024,62.2701788671605
"ntcheu","Ntcheu","Postnatal Care",2024,100
"ntcheu","Ntcheu","Coverage Index",2024,65.5650665155878
"ntchisi","Ntchisi","Skilled Birth Attendance",2015,58.3050068677112
"ntchisi","Ntchisi","ANC 4+",2015,56.4847711583938
"ntchisi","Ntchisi","Postnatal Care",2015,99.2531003021858
"ntchisi","Ntchisi","Coverage Index",2015,71.3476261094303
"ntchisi","Ntchisi","Skilled Birth Attendance",2024,31.4750098758329
"ntchisi","Ntchisi","ANC 4+",2024,67.850282479935
"ntchisi","Ntchisi","Postnatal Care",2024,100
"ntchisi","Ntchisi","Coverage Index",2024,66.4417641185893
"phalombe","Phalombe","Skilled Birth Attendance",2015,54.0153168618156
"phalombe","Phalombe","ANC 4+",2015,62.2274578282778
"phalombe","Phalombe","Postnatal Care",2015,99.3692952446221
